code,name,price,change,jinge,jingzhanbi
000552,靖远煤电,3.69,4.83,1471,4.04
600415,小商品城,6.04,4.50,1471,2.92
002867,周大生,28.83,3.89,1465,7.14
300320,海达股份,13.49,4.57,1461,3.07
000089,深圳机场,8.84,1.61,1449,3.31
002468,申通快递,24.84,0.61,1444,4.95
600158,中体产业,11.08,7.78,1435,1.85
600508,上海能源,12.95,6.76,1432,2.53
002729,好利来,61.91,-0.08,1426,22.08
002120,韵达股份,44.49,-2.82,1415,4.65
600249,两面针,6.78,0.74,1411,3.16
000650,仁和药业,5.41,3.84,1407,7.65
600978,宜华生活,9.27,1.42,1382,3.16
002256,兆新股份,4.49,6.40,1371,5.38
000513,丽珠集团,71.27,7.25,1365,0.51
000027,深圳能源,6.19,2.15,1359,6.53
603283,赛腾股份,23.42,61.07,1357,83.48
300314,戴维医疗,14.12,6.57,1350,11.86
600516,方大炭素,33.75,16.86,1350,0.06
002596,海南瑞泽,11.36,0.00,1344,2.19
603027,千禾味业,19.25,7.00,1340,7.04
600502,安徽水利,7.12,3.34,1339,2.63
601229,上海银行,14.81,4.44,1338,0.82
300407,凯发电气,13.48,26.93,1328,1.88
600382,广东明珠,13.28,5.56,1327,5.08
300340,科恒股份,56.67,-2.39,1327,1.60
002411,必康股份,26.60,-0.26,1323,5.99
002683,宏大爆破,7.78,5.42,1322,6.14
000545,金浦钛业,5.24,3.35,1321,3.76
300427,红相电力,15.43,5.61,1311,6.54
002736,国信证券,11.20,3.23,1311,2.86
000599,青岛双星,6.48,2.69,1309,7.65
600874,创业环保,14.92,14.68,1306,0.33
603318,派思股份,14.64,-0.20,1299,4.52
000663,永安林业,17.92,-0.33,1295,7.49
600468,百利电气,6.81,5.09,1282,8.52
300182,捷成股份,9.04,4.99,1269,1.94
002557,洽洽食品,16.04,1.58,1265,5.98
002196,方正电机,9.83,5.02,1262,3.00
601700,风范股份,8.17,1.62,1254,8.40
300194,福安药业,6.02,4.70,1251,10.84
002786,银宝山新,10.04,7.15,1245,6.50
600064,南京高科,14.64,3.17,1236,3.79
603269,海鸥股份,25.22,1.12,1231,5.44
002695,煌上煌,17.39,2.41,1230,2.45
000605,渤海股份,19.13,7.35,1226,1.98
200488,晨鸣B,13.86,6.13,1226,12.92
300616,尚品宅配,161.86,2.43,1223,6.22
300031,宝通科技,15.90,7.07,1222,4.61
002229,鸿博股份,10.08,7.23,1219,2.84
002249,大洋电机,7.18,3.01,1218,2.76
002602,世纪华通,35.48,4.41,1201,2.90
000543,皖能电力,5.17,2.99,1199,6.56
000504,南华生物,-,-,1194,3.54
603595,东尼电子,82.90,7.94,1148,3.65
000620,新华联,6.49,13.86,1140,5.76
300436,广生堂,31.29,6.50,1139,6.77
002831,裕同科技,59.00,5.58,1138,4.54
002113,天润数娱,12.24,-0.24,1138,2.68
603699,纽威股份,20.13,4.68,1137,3.99
600039,四川路桥,4.18,2.70,1132,3.53
002284,亚太股份,9.42,4.90,1129,3.36
603286,日盈电子,38.43,0.81,1125,4.64
